ID	Quotation Name	Document	Document Groups	Quotation Content	Codes	Autore-i	Riferimento-Bibliografico	Link
82:1	Il nous tardait d’arriver à Bologne, de saluer la ville où le même siè…	fr_LET_Ducos_Ferrare_Bologne	FR  all-doc	Il nous tardait d’arriver à Bologne, de saluer la ville où le même siècle vit naître Annibal Carrache, le Dominiquin, le Guide, l’Albane et le Guerchin.	ART::Albani-Francesco  ART::Annibale-Carracci  ART::Carracci-Annibale  ART::Domenichino-(pseudonimo-Domenico-Zampieri)  ART::Guercino  ART::Reni-Guido  CITTAePAESI::Bologna  LINGUA::French	Ducos, Basile Joseph	Ducos, Basile Joseph (1829), Itinéraire et souvenirs d’un voyage en Italie en 1819 et 1820.	https://gallica.bnf.fr/ark:/12148/bpt6k106431g
82:2	Son éminence n’assistait point aujourd'hui à la représentation de Rich…	fr_LET_Ducos_Ferrare_Bologne	FR  all-doc	Son éminence n’assistait point aujourd'hui à la représentation de Richard Cœur-de-Lion. La musique italienne de cet opéra est médiocre. Grétry en a rendu la répétition difficile. Il serait donné à peu de compositeurs de faire oublier les motifs variés et spirituels du musicien liégeois, la légèreté et la grâce de ses accompagnements, et surtout les accens de la touchante romance de Blondel.	ESPERIENZA::Disgusto  LINGUA::French  TEM::Arte-Musicale	Ducos, Basile Joseph	Ducos, Basile Joseph (1829), Itinéraire et souvenirs d’un voyage en Italie en 1819 et 1820.	https://gallica.bnf.fr/ark:/12148/bpt6k106431g
82:3	La province du Bolonais est gouvernée par le cardinal Spina. Les habit…	fr_LET_Ducos_Ferrare_Bologne	FR  all-doc	La province du Bolonais est gouvernée par le cardinal Spina. Les habitans se louent de sa douceur et de son équité. La facilité de ses mœurs lui a concilié les suffrages des gens du monde, sans lui aliéner ceux des rigoristes et du clergé. Il passe la plupart de ses soirées au théâtre, dans la loge du gouvernement. Son éminence n’assistait point aujourd'hui à la représentation de Richard Cœur-de-Lion.	LINGUA::French  PERS::Giuseppe-Spina  TEM::Usi e Costumi	Ducos, Basile Joseph	Ducos, Basile Joseph (1829), Itinéraire et souvenirs d’un voyage en Italie en 1819 et 1820.	https://gallica.bnf.fr/ark:/12148/bpt6k106431g
83:1	Bologne, la vieille ville, la ville âpre et remueuse du moyen âge, la…	fr_LET_Goncourt_Bologne	FR  all-doc	Bologne, la vieille ville, la ville âpre et remueuse du moyen âge, la berceuse des factions, la ville à l'esprit osé, révolutionnaire, précurseur des idées nouvelles, et toujours vendue et revendue par des Judas, — la cité qui a pour devise: Libertas.	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:2	Sur la place, un grand palais, tout démantelé, tout ravagé, aux énorme…	fr_LET_Goncourt_Bologne	FR  all-doc	Sur la place, un grand palais, tout démantelé, tout ravagé, aux énormes trous non rebouchés, dans lequel est encastrée une ornementale fontaine de Jean de Bologne, où sous une statue en pied d'un pape en bronze vert, des femmes élégamment longues, et nonchalamment renversées, pressent des deux mains leurs seins, petits et drus, comme des seins de vierge.	ART::Giambologna  CITTAePAESI::Bologna  LINGUA::French  LU::Edifici::Palazzo_dAccursio  LU::Edifici::Palazzo-d'Accursio  LU::Fontane::Fontana-Nettuno  LU::Piazze::Piazza-Maggiore  OPA::Scultura::Nettuno  OPA::Statua::Gregorio-XIII  PERS::Gregorio-XIII  PERS::Papa	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:3	En cette ville, l'arcade s'empare de toutes les rues, et met, sous ces…	fr_LET_Goncourt_Bologne	FR  all-doc	En cette ville, l'arcade s'empare de toutes les rues, et met, sous ces voûtes à la Granet, une ombre, où une étroite lumière filtre çà et là, sur les tons verdâtres des murs, faisant de cette ville du soleil, la ville du clair-obscur.	CITTAePAESI::Bologna  ESPERIENZA::Esperienza  LINGUA::French  LU::Portici::Portico  OPA::Architettura::Portico	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:4	C'est bien la patrie du talent « clair-obscur » de Guerchin, qui endui…	fr_LET_Goncourt_Bologne	FR  all-doc	C'est bien la patrie du talent « clair-obscur » de Guerchin, qui enduisant ses toiles d'une préparation de poudre de marbre, recouverte de glacis, obtenait d'être nommé le magicien de la couleur. Mais, au bout de cinquante ans, la préparation est tombée, et Guerchin n'est plus que le coloriste de la nuit.	ART::Guercino  CITTAePAESI::Bologna  LINGUA::French  OPA::Pittura::Pittura	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:5	Partout dans la ville, des mendiants, et non des mendiants errants à l…	fr_LET_Goncourt_Bologne	FR  all-doc	Partout dans la ville, des mendiants, et non des mendiants errants à l'aventure, mais des mendiants à poste fixe, en possession, sur des chaises boiteuses, d'un endroit leur appartenant, ainsi qu'une concession à perpétuité; et des fiévreux claquant des dents, sous leurs frusques rousses; et des aveugles, sans âge, qui remuent de minute en minute, monté comme un mouvement de pendule, un cornet de fer-blanc, qui sonne et puis se tait; et encore de vieilles femmes, avec de grands trous dans leur sarrau, et où passent des morceaux d'ostéologie de faméliques.	CITTAePAESI::Bologna  ESPERIENZA::Disgusto  ESPERIENZA::Stupore  LINGUA::French	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:6	Un mendiant surtout était horrible à voir, et je l'ai emporté dans mes…	fr_LET_Goncourt_Bologne	FR  all-doc	Un mendiant surtout était horrible à voir, et je l'ai emporté dans mes yeux. Un couvre-chef indicible lui couvrait la figure jusqu'au menton, d'où s'échappaient quelques rudes poils d'une barbe, semblable aux soies d'un sanglier, et les bras tombés le long de son corps, avec les mains à demi ouvertes, il était à genoux au milieu de la rue, dans la boue, la neige fondue, et il restait là, ainsi, sans un geste, les lèvres mortes, immobile comme un marbre, muet comme un cadavre debout.	CITTAePAESI::Bologna  ESPERIENZA::Disgusto  LINGUA::French	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:7	Oui, d'une porte à l'autre de la ville, c'est une population d'êtres h…	fr_LET_Goncourt_Bologne	FR  all-doc	Oui, d'une porte à l'autre de la ville, c'est une population d'êtres haillonneux, loqueteux, guenilleux, et d'où s'élèvent de toutes les bouches. des notes lamentablement plaintives, et qui sont comme un cantique de la souffrance.	CITTAePAESI::Bologna  ESPERIENZA::Disgusto  ESPERIENZA::Stupore  LINGUA::French	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:8	Et ne voilà-t-il pas que mon paradoxal patriote italien se met à soute…	fr_LET_Goncourt_Bologne	FR  all-doc	Et ne voilà-t-il pas que mon paradoxal patriote italien se met à soutenir, avec une parole enthousiaste, une éloquence lyrique, que le brigand est une poésie du pays; et il ajoute, dans la sincérité de son âme, que la disparition du brigand diminue le nombre des touristes, enchantés de trouver en diligence, un roman, à raconter à leur retour.	CITTAePAESI::Bologna  ESPERIENZA::Stupore  LINGUA::French  TEM::Usi e Costumi	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:9	Au Musée, « la Sainte Cécile » de Raphaël. En voyant ce tableau, toute…	fr_LET_Goncourt_Bologne	FR  all-doc	Au Musée, « la Sainte Cécile » de Raphaël. En voyant ce tableau, toute mon enfance m'est revenue. J'ai revu tout à coup le livre de messe de ma mère, qui avait en tête la méchante gravure en taille-douce des paroissiens, représentant la Sainte, qui lui avait donné son nom, et je retrouvais, dans le souvenir de mes yeux, la douce figure de ma mère, penchée sur le vieux maroquin rouge du livre écorné, et me montrant l'image, que je n'aimais pas plus, que je n'aime aujourd'hui le tableau	ART::Sanzio-Raffaello  CITTAePAESI::Bologna  LINGUA::French  LU::Musei::Pinacoteca  OPA::Dipinto::Dipinto	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:10	Ce dimanche, il y a festa di ballo. - L'entrée coûte cinq baïoques. -…	fr_LET_Goncourt_Bologne	FR  all-doc	Ce dimanche, il y a festa di ballo. - L'entrée coûte cinq baïoques. - Des gamins, aux yeux méchamment noirs, mendient sur l'escalier vos bouts de cigares. - Au contrôle, sont assis des gens portant des tricornes, de grands tricornes, comme on en voit seulement chez les gendarmes automates, dans les assassinats des figures de cire.	CITTAePAESI::Bologna  LINGUA::French  TEM::Evento	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
